Timestamp,Barcode,Representation indicators from cover and summary,Language
10/20/2023 10:02:56,30007110002770,"Animals and/or mythical creatures, AAPI, cambodia",English
10/20/2023 10:03:42,30007060188173,,English
10/20/2023 10:04:52,30007060408068,"Race/Ethnicity, Economic Welfare, Religion, AAPI, jewish, afghanistan",English
10/20/2023 10:05:16,30007110002338,Animals and/or mythical creatures,English
10/20/2023 10:05:37,30405012915182,Animals and/or mythical creatures,English
10/20/2023 10:05:54,30405012467465,Animals and/or mythical creatures,English
10/20/2023 10:18:32,30405001657357,"Animals and/or mythical creatures, indigenous, great plains",English
10/20/2023 10:19:49,30405020040304,Animals and/or mythical creatures,English
10/20/2023 10:20:37,30007110005803,"Race/Ethnicity, latin america, carribean",English
10/20/2023 10:21:27,30405012491549,,English
10/20/2023 10:22:20,30007060504114,"Race/Ethnicity, Animals and/or mythical creatures, multicultural, hawaii",English
10/20/2023 10:22:51,30007060043899,"Animals and/or mythical creatures, indigenous, wasco",English
10/20/2023 10:23:52,30405012159518,"Animals and/or mythical creatures, latin america, anansi, jamaica",English
10/20/2023 10:24:19,30405010257181,Animals and/or mythical creatures,English
10/20/2023 10:24:44,30405000736798,Animals and/or mythical creatures,English
10/20/2023 10:25:29,30007060201901,"Animals and/or mythical creatures, indigenous, choctaw",English
10/20/2023 10:26:47,30007060485876,"Race/Ethnicity, indigenous, latin america, aztec",English
10/20/2023 10:27:16,30405020346198,,English
10/20/2023 10:27:47,30405011803710,Animals and/or mythical creatures,English
10/20/2023 10:28:12,30405012254962,Animals and/or mythical creatures,English
10/20/2023 10:28:27,30405012254954,Animals and/or mythical creatures,English
10/20/2023 10:29:19,30405000592340,,English
10/20/2023 10:29:39,30405012987843,Animals and/or mythical creatures,English
10/20/2023 10:35:33,30405011793531,Animals and/or mythical creatures,English
10/20/2023 10:36:08,30007060378618,"Animals and/or mythical creatures, AAPI, india",English
10/20/2023 10:36:35,30007060407490,,English
10/20/2023 10:37:28,30405012723677,Animals and/or mythical creatures,English
10/20/2023 10:38:13,30405012404674,"Race/Ethnicity, indigenous",English
10/20/2023 10:39:12,30007060044244,"Race/Ethnicity, AAPI, china",English
10/20/2023 10:39:30,30405040010501,,English
10/20/2023 10:40:06,30405060027476,Animals and/or mythical creatures,English
10/20/2023 10:40:49,30007110005331,Animals and/or mythical creatures,English
10/20/2023 10:41:31,30405012393729,"Physical Health, Animals and/or mythical creatures, blind",English
10/20/2023 10:41:51,30405012549817,Animals and/or mythical creatures,English
10/20/2023 10:43:02,30007060082582,,English
10/20/2023 10:43:34,30405020040098,"Animals and/or mythical creatures, AAPI, china",English
10/20/2023 10:44:58,30007110002901,Animals and/or mythical creatures,English
10/20/2023 10:45:18,30007330001024,Animals and/or mythical creatures,English
10/20/2023 10:45:48,30007110001044,Animals and/or mythical creatures,English
10/20/2023 10:47:01,30405012427931,,English
10/20/2023 10:47:49,30405013039016,"Race/Ethnicity, AAPI, china",English
10/20/2023 10:48:10,30405013039024,"Race/Ethnicity, AAPI, china",English
10/20/2023 10:49:09,30007060383030,Animals and/or mythical creatures,English
10/20/2023 10:50:04,30007060082566,,English
10/20/2023 10:51:11,30007060082392,"Race/Ethnicity, multicultural",English
10/20/2023 10:51:55,30007060536496,"Race/Ethnicity, AAPI, india",English
10/20/2023 10:52:37,30007060082608,,English
10/20/2023 10:53:15,30405060027435,multicultural,English
10/20/2023 10:54:11,30007060561015,"Religion, jewish",hebrew
10/20/2023 10:54:44,30007990000068,"Animals and/or mythical creatures, multicultural",English
10/20/2023 10:55:09,30007110000944,Animals and/or mythical creatures,English
10/20/2023 10:55:23,30007060378634,Animals and/or mythical creatures,English
10/20/2023 10:55:47,30007110002344,Animals and/or mythical creatures,English
10/20/2023 10:56:02,30007060193082,Animals and/or mythical creatures,English
10/20/2023 10:57:39,30405013503698,Animals and/or mythical creatures,English
10/20/2023 10:57:58,30007110002343,Animals and/or mythical creatures,English
10/20/2023 10:58:21,30007060305488,,English
10/20/2023 10:58:58,30007060307013,,English
10/20/2023 10:59:28,30007110001841,multicultural,English
10/20/2023 11:08:45,30007070080014,"Race/Ethnicity, multicultural",English
10/20/2023 11:09:02,30007060313862,Animals and/or mythical creatures,English
10/20/2023 11:09:39,30007110005685,,English
10/20/2023 11:10:13,30007110004812,Animals and/or mythical creatures,English
10/20/2023 11:10:36,30405012270190,Animals and/or mythical creatures,English
10/20/2023 11:10:54,30405010259542,,English
10/20/2023 11:11:08,30007070080030,Animals and/or mythical creatures,English
10/20/2023 11:11:38,30007070080006,Animals and/or mythical creatures,English
10/20/2023 11:12:16,30007110005103,Animals and/or mythical creatures,English
10/20/2023 11:12:34,30405020016197,,English
10/20/2023 11:12:53,30405011805665,,English
10/20/2023 11:13:30,30405010694474,Animals and/or mythical creatures,English
10/20/2023 11:14:12,30405011821084,,English
10/20/2023 11:14:25,30405011821076,,English
10/20/2023 11:14:41,30405011821068,,English
10/20/2023 11:15:52,30007060407672,Animals and/or mythical creatures,English
10/20/2023 11:16:12,30007070080022,Animals and/or mythical creatures,English
10/20/2023 11:16:29,30007110002161,,English
10/21/2023 9:21:31,30007060114559,"Animals and/or mythical creatures, africa, liberia",English
